TheTime,AIN0,,AIN1,AIN2,AIN3,AVERAGE,AIN1
42333.60759,2.399794,0.026,2.597479,2.436022,1.384634,,2.592444
42333.60759,2.404825,0.027,2.597479,2.441051,1.384634,,2.597479
42333.60759,2.414889,0.028,2.602515,2.441051,1.384634,,2.602515
42333.60759,2.409857,0.029,2.612587,2.441051,1.379605,,2.597479
42333.60759,2.409857,0.03,2.587408,2.441051,1.384634,,2.587408
42333.60759,2.404825,0.031,2.602515,2.451109,1.394692,,2.597479
42333.60759,2.394762,0.032,2.602515,2.44608,1.384634,,2.592444
42333.60759,2.399794,0.033,2.577336,2.456138,1.384634,,2.597479
42333.60759,2.38973,0.034,2.587408,2.451109,1.379605,,2.597479
42333.60759,2.399794,0.035,2.597479,2.44608,1.384634,,2.602515
42333.60759,2.394762,0.036,2.587408,2.451109,1.379605,,2.592444
42333.60759,2.409857,0.037,2.592444,2.451109,1.394692,,2.582372
42333.60759,2.404825,0.038,2.592444,2.456138,1.384634,,2.592444
42333.60759,2.399794,0.039,2.597479,2.451109,1.389663,,2.597479
42333.60759,2.399794,0.04,2.602515,2.451109,1.379605,,2.592444
42333.60759,2.404825,0.041,2.602515,2.44608,1.384634,,2.592444
42333.60759,2.399794,0.042,2.597479,2.44608,1.384634,,2.597479
42333.60759,2.399794,0.043,2.592444,2.456138,1.384634,,2.597479
42333.60759,2.399794,0.044,2.597479,2.451109,1.389663,,2.602515
42333.60759,2.399794,0.045,2.597479,2.451109,1.384634,,2.587408
42333.60759,2.399794,0.046,2.597479,2.44608,1.384634,,2.587408
42333.60759,2.399794,0.047,2.592444,2.44608,1.384634,,2.587408
42333.60759,2.409857,0.048,2.597479,2.44608,1.384634,,2.597479
42333.60759,2.404825,0.049,2.597479,2.436022,1.389663,,2.602515
42333.60759,2.409857,0.05,2.607551,2.451109,1.389663,,2.607551
42333.60759,2.409857,0.051,2.602515,2.44608,1.379605,,2.602515
42333.60759,2.404825,0.052,2.597479,2.451109,1.379605,,2.607551
42333.60759,2.404825,0.053,2.587408,2.461167,1.379605,,2.602515
42333.60759,2.394762,0.054,2.582372,2.456138,1.389663,,2.602515
42333.60759,2.399794,0.055,2.587408,2.451109,1.384634,,2.602515
42333.60759,2.394762,0.056,2.592444,2.451109,1.384634,,2.597479
42333.60759,2.399794,0.057,2.592444,2.441051,1.384634,,2.597479
42333.60759,2.409857,0.058,2.592444,2.451109,1.384634,,2.592444
42333.60759,2.404825,0.059,2.597479,2.44608,1.374576,,2.597479
42333.60759,2.409857,0.06,2.597479,2.44608,1.379605,,2.602515
42333.60759,2.399794,0.061,2.587408,2.44608,1.374576,,2.597479
42333.60759,2.404825,0.062,2.597479,2.456138,1.399721,,2.592444
42333.60759,2.399794,0.063,2.597479,2.456138,1.384634,,2.592444
42333.60759,2.394762,0.064,2.582372,2.461167,1.384634,,2.597479
42333.60759,2.394762,0.065,2.592444,2.451109,1.389663,,2.597479
42333.60759,2.399794,0.066,2.592444,2.44608,1.384634,,2.592444
42333.60759,2.399794,0.067,2.592444,2.44608,1.384634,,2.592444
42333.60759,2.414889,0.068,2.597479,2.44608,1.379605,,2.602515
42333.60759,2.404825,0.069,2.592444,2.436022,1.379605,,2.597479
42333.60759,2.409857,0.07,2.597479,2.44608,1.379605,,2.597479
42333.60759,2.414889,0.071,2.607551,2.441051,1.379605,,2.597479
42333.60759,2.409857,0.072,2.602515,2.44608,1.384634,,2.602515
42333.60759,2.399794,0.073,2.592444,2.451109,1.379605,,2.597479
42333.60759,2.394762,0.074,2.597479,2.451109,1.379605,,2.602515
42333.60759,2.404825,0.075,2.602515,2.441051,1.389663,,2.607551
42333.60759,2.399794,0.076,2.597479,2.451109,1.384634,,2.592444
42333.60759,2.404825,0.077,2.597479,2.44608,1.384634,,2.597479
42333.60759,2.404825,0.078,2.597479,2.44608,1.379605,,2.602515
42333.60759,2.399794,0.079,2.597479,2.441051,1.389663,,2.592444
42333.60759,2.404825,0.08,2.597479,2.441051,1.384634,,2.597479
42333.60759,2.409857,0.081,2.602515,2.451109,1.394692,,2.597479
42333.60759,2.404825,0.082,2.602515,2.451109,1.389663,,2.592444
42333.60759,2.399794,0.083,2.592444,2.456138,1.384634,,2.592444
42333.60759,2.394762,0.084,2.602515,2.451109,1.384634,,2.592444
42333.60759,2.394762,0.085,2.592444,2.456138,1.379605,,2.592444
42333.60759,2.394762,0.086,2.602515,2.44608,1.384634,,2.597479
42333.60759,2.399794,0.087,2.602515,2.44608,1.389663,,2.592444
42333.60759,2.409857,0.088,2.597479,2.44608,1.379605,,2.587408
42333.60759,2.414889,0.089,2.592444,2.451109,1.384634,,2.597479
42333.60759,2.41992,0.09,2.597479,2.44608,1.389663,,2.597479
42333.60759,2.41992,0.091,2.602515,2.441051,1.389663,,2.597479
42333.60759,2.409857,0.092,2.592444,2.456138,1.384634,,2.597479
42333.60759,2.399794,0.093,2.592444,2.456138,1.384634,,2.597479
42333.60759,2.399794,0.094,2.587408,2.461167,1.379605,,2.597479
42333.60759,2.394762,0.095,2.587408,2.451109,1.389663,,2.587408
42333.60759,2.399794,0.096,2.597479,2.44608,1.379605,,2.587408
42333.60759,2.404825,0.097,2.592444,2.441051,1.384634,,2.592444
42333.60759,2.404825,0.098,2.607551,2.44608,1.379605,,2.602515
42333.60759,2.399794,0.099,2.592444,2.451109,1.384634,,2.592444
42333.60759,2.399794,0.1,2.607551,2.44608,1.394692,,2.602515
42333.60759,2.409857,0.101,2.607551,2.436022,1.389663,,2.592444
42333.60759,2.399794,0.102,2.607551,2.44608,1.384634,,2.597479
42333.60759,2.399794,0.103,2.592444,2.451109,1.384634,,2.597479
42333.60759,2.399794,0.104,2.597479,2.451109,1.379605,,2.597479
42333.60759,2.399794,0.105,2.607551,2.44608,1.384634,,2.602515
42333.60759,2.394762,0.106,2.592444,2.451109,1.389663,,2.592444
42333.60759,2.399794,0.107,2.602515,2.44608,1.384634,,2.597479
42333.60759,2.399794,0.108,2.602515,2.451109,1.389663,,2.592444
42333.60759,2.404825,0.109,2.587408,2.456138,1.384634,,2.587408
42333.60759,2.399794,0.11,2.597479,2.44608,1.374576,,2.592444
42333.60759,2.409857,0.111,2.602515,2.44608,1.379605,,2.592444
42333.60759,2.404825,0.112,2.592444,2.44608,1.394692,,2.602515
42333.60759,2.399794,0.113,2.587408,2.44608,1.384634,,2.602515
42333.60759,2.38973,0.114,2.587408,2.456138,1.384634,,2.607551
42333.60759,2.399794,0.115,2.597479,2.451109,1.384634,,2.602515
42333.60759,2.399794,0.116,2.587408,2.451109,1.384634,,2.597479
42333.60759,2.404825,0.117,2.592444,2.451109,1.384634,,2.587408
42333.60759,2.404825,0.118,2.602515,2.44608,1.384634,,2.587408
42333.60759,2.404825,0.119,2.607551,2.44608,1.379605,,2.592444
42333.60759,2.41992,0.12,2.607551,2.44608,1.389663,,2.592444
42333.60759,2.41992,0.121,2.597479,2.451109,1.384634,,2.592444
42333.60759,2.409857,0.122,2.602515,2.451109,1.384634,,2.602515
42333.60759,2.404825,0.123,2.597479,2.461167,1.384634,,2.597479
42333.60759,2.394762,0.124,2.592444,2.461167,1.389663,,2.597479
42333.60759,2.399794,0.125,2.602515,2.461167,1.394692,,2.607551
42333.60759,2.404825,0.126,2.592444,2.451109,1.374576,,2.587408
42333.60759,2.38973,0.127,2.587408,2.451109,1.384634,,2.597479
42333.60759,2.404825,0.128,2.597479,2.44608,1.379605,,2.602515
42333.60759,2.404825,0.129,2.602515,2.44608,1.389663,,2.597479
42333.60759,2.409857,0.13,2.597479,2.44608,1.384634,,2.597479
42333.60759,2.404825,0.131,2.607551,2.44608,1.389663,,2.592444
42333.60759,2.409857,0.132,2.592444,2.461167,1.379605,,2.592444
42333.60759,2.404825,0.133,2.592444,2.451109,1.389663,,2.607551
42333.60759,2.394762,0.134,2.587408,2.461167,1.379605,,2.607551
42333.60759,2.394762,0.135,2.592444,2.456138,1.389663,,2.597479
42333.60759,2.399794,0.136,2.607551,2.44608,1.379605,,2.582372
42333.60759,2.399794,0.137,2.592444,2.44608,1.389663,,2.587408
42333.60759,2.414889,0.138,2.602515,2.451109,1.374576,,2.592444
42333.60759,2.409857,0.139,2.607551,2.441051,1.379605,,2.587408
42333.60759,2.409857,0.14,2.607551,2.441051,1.379605,,2.587408
42333.60759,2.414889,0.141,2.607551,2.441051,1.374576,,2.592444
42333.60759,2.404825,0.142,2.607551,2.451109,1.384634,,2.602515
42333.60759,2.404825,0.143,2.597479,2.461167,1.384634,,2.597479
42333.60759,2.394762,0.144,2.597479,2.461167,1.384634,,2.597479
42333.60759,2.394762,0.145,2.602515,2.451109,1.389663,,2.602515
42333.60759,2.399794,0.146,2.587408,2.456138,1.379605,,2.587408
42333.60759,2.399794,0.147,2.592444,2.44608,1.384634,,2.592444
42333.60759,2.404825,0.148,2.602515,2.44608,1.384634,,2.587408
42333.60759,2.409857,0.149,2.597479,2.44608,1.384634,,2.592444
42333.60759,2.409857,0.15,2.612587,2.44608,1.384634,,2.602515
42333.60759,2.414889,0.151,2.607551,2.44608,1.389663,,2.592444
42333.60759,2.414889,0.152,2.597479,2.451109,1.379605,,2.592444
42333.60759,2.399794,0.153,2.592444,2.44608,1.384634,,2.597479
42333.60759,2.38973,0.154,2.592444,2.44608,1.384634,,2.602515
42333.60759,2.384699,0.155,2.597479,2.44608,1.379605,,2.592444
42333.60759,2.399794,0.156,2.592444,2.451109,1.379605,,2.587408
42333.60759,2.399794,0.157,2.587408,2.451109,1.384634,,2.592444
42333.60759,2.409857,0.158,2.592444,2.44608,1.379605,,2.587408
42333.60759,2.409857,0.159,2.602515,2.430993,1.384634,,2.587408
42333.60759,2.404825,0.16,2.607551,2.436022,1.374576,,2.592444
42333.60759,2.41992,0.161,2.597479,2.441051,1.389663,,2.582372
42333.60759,2.409857,0.162,2.597479,2.44608,1.394692,,2.597479
42333.60759,2.404825,0.163,2.597479,2.44608,1.379605,,2.597479
42333.60759,2.38973,0.164,2.597479,2.451109,1.379605,,2.597479
42333.60759,2.38973,0.165,2.592444,2.44608,1.384634,,2.597479
42333.60759,2.38973,0.166,2.597479,2.461167,1.379605,,2.597479
42333.60759,2.399794,0.167,2.597479,2.451109,1.384634,,2.592444
42333.60759,2.404825,0.168,2.597479,2.451109,1.394692,,2.592444
42333.60759,2.404825,0.169,2.602515,2.456138,1.374576,,2.592444
42333.60759,2.409857,0.17,2.597479,2.456138,1.389663,,2.592444
42333.60759,2.414889,0.171,2.602515,2.451109,1.384634,,2.592444
42333.60759,2.409857,0.172,2.597479,2.451109,1.394692,,2.597479
42333.60759,2.394762,0.173,2.592444,2.456138,1.379605,,2.592444
42333.60759,2.394762,0.174,2.582372,2.44608,1.379605,,2.607551
42333.60759,2.394762,0.175,2.597479,2.456138,1.389663,,2.612587
42333.60759,2.399794,0.176,2.587408,2.456138,1.384634,,2.587408
42333.60759,2.404825,0.177,2.592444,2.451109,1.384634,,2.592444
42333.60759,2.409857,0.178,2.597479,2.451109,1.389663,,2.597479
42333.60759,2.404825,0.179,2.597479,2.436022,1.379605,,2.597479
42333.60759,2.409857,0.18,2.602515,2.44608,1.384634,,2.592444
42333.60759,2.414889,0.181,2.607551,2.451109,1.389663,,2.592444
42333.60759,2.414889,0.182,2.597479,2.44608,1.379605,,2.597479
42333.60759,2.394762,0.183,2.597479,2.451109,1.374576,,2.592444
42333.60759,2.399794,0.184,2.602515,2.44608,1.394692,,2.602515
42333.60759,2.399794,0.185,2.587408,2.456138,1.379605,,2.597479
42333.60759,2.399794,0.186,2.592444,2.451109,1.374576,,2.597479
42333.60759,2.404825,0.187,2.587408,2.44608,1.389663,,2.597479
42333.60759,2.404825,0.188,2.592444,2.441051,1.389663,,2.597479
42333.60759,2.399794,0.189,2.597479,2.436022,1.379605,,2.597479
42333.60759,2.409857,0.19,2.597479,2.44608,1.379605,,2.592444
42333.60759,2.404825,0.191,2.602515,2.44608,1.379605,,2.592444
42333.60759,2.399794,0.192,2.597479,2.441051,1.384634,,2.592444
42333.60759,2.404825,0.193,2.602515,2.451109,1.384634,,2.597479
42333.60759,2.399794,0.194,2.597479,2.451109,1.384634,,2.607551
42333.60759,2.394762,0.195,2.597479,2.461167,1.379605,,2.602515
42333.60759,2.404825,0.196,2.602515,2.451109,1.384634,,2.587408
42333.60759,2.399794,0.197,2.597479,2.44608,1.384634,,2.597479
42333.60759,2.399794,0.198,2.597479,2.456138,1.384634,,2.592444
42333.60759,2.399794,0.199,2.597479,2.451109,1.384634,,2.602515
42333.60759,2.404825,0.2,2.607551,2.44608,1.399721,,2.607551
42333.60759,2.404825,0.201,2.602515,2.451109,1.384634,,2.597479
42333.60759,2.404825,0.202,2.597479,2.451109,1.384634,,2.597479
42333.60759,2.404825,0.203,2.592444,2.456138,1.379605,,2.602515
42333.60759,2.399794,0.204,2.592444,2.441051,1.384634,,2.602515
42333.60759,2.399794,0.205,2.587408,2.44608,1.384634,,2.592444
42333.60759,2.404825,0.206,2.597479,2.451109,1.389663,,2.592444
42333.60759,2.409857,0.207,2.587408,2.44608,1.384634,,2.582372
42333.60759,2.409857,0.208,2.592444,2.456138,1.379605,,2.602515
42333.60759,2.414889,0.209,2.597479,2.451109,1.389663,,2.597479
42333.60759,2.409857,0.21,2.597479,2.44608,1.384634,,2.592444
42333.60759,2.404825,0.211,2.612587,2.441051,1.384634,,2.597479
42333.60759,2.404825,0.212,2.602515,2.451109,1.389663,,2.587408
42333.60759,2.409857,0.213,2.587408,2.456138,1.389663,,2.592444
42333.60759,2.394762,0.214,2.592444,2.456138,1.379605,,2.597479
42333.60759,2.394762,0.215,2.607551,2.451109,1.384634,,2.597479
42333.60759,2.404825,0.216,2.597479,2.456138,1.374576,,2.582372
42333.60759,2.409857,0.217,2.597479,2.456138,1.379605,,2.587408
42333.60759,2.409857,0.218,2.597479,2.456138,1.384634,,2.602515
42333.60759,2.41992,0.219,2.592444,2.44608,1.379605,,2.597479
42333.60759,2.409857,0.22,2.602515,2.456138,1.384634,,2.597479
42333.60759,2.409857,0.221,2.612587,2.44608,1.374576,,2.597479
42333.60759,2.409857,0.222,2.602515,2.461167,1.384634,,2.602515
42333.60759,2.394762,0.223,2.587408,2.461167,1.384634,,2.607551
42333.60759,2.394762,0.224,2.587408,2.456138,1.384634,,2.602515
42333.60759,2.38973,0.225,2.597479,2.44608,1.394692,,2.602515
42333.60759,2.394762,0.226,2.587408,2.451109,1.384634,,2.587408
42333.60759,2.399794,0.227,2.592444,2.44608,1.379605,,2.587408
42333.60759,2.409857,0.228,2.592444,2.441051,1.384634,,2.592444
42333.60759,2.409857,0.229,2.602515,2.441051,1.389663,,2.587408
42333.60759,2.409857,0.23,2.602515,2.436022,1.379605,,2.587408
42333.60759,2.404825,0.231,2.602515,2.441051,1.389663,,2.587408
42333.60759,2.409857,0.232,2.597479,2.451109,1.374576,,2.597479
42333.60759,2.399794,0.233,2.587408,2.456138,1.389663,,2.602515
42333.60759,2.394762,0.234,2.597479,2.44608,1.379605,,2.597479
42333.60759,2.394762,0.235,2.597479,2.451109,1.384634,,2.602515
42333.60759,2.394762,0.236,2.602515,2.451109,1.389663,,2.592444
42333.60759,2.404825,0.237,2.602515,2.451109,1.389663,,2.587408
42333.60759,2.404825,0.238,2.607551,2.441051,1.384634,,2.592444
42333.60759,2.404825,0.239,2.612587,2.44608,1.384634,,2.587408
42333.60759,2.404825,0.24,2.592444,2.44608,1.379605,,2.592444
42333.60759,2.414889,0.241,2.607551,2.451109,1.384634,,2.592444
42333.60759,2.399794,0.242,2.602515,2.451109,1.389663,,2.597479
42333.60759,2.394762,0.243,2.582372,2.451109,1.379605,,2.602515
42333.60759,2.38973,0.244,2.587408,2.451109,1.379605,,2.592444
42333.60759,2.399794,0.245,2.597479,2.451109,1.384634,,2.597479
42333.60759,2.399794,0.246,2.592444,2.456138,1.379605,,2.577336
42333.60759,2.399794,0.247,2.592444,2.456138,1.384634,,2.582372
42333.60759,2.414889,0.248,2.597479,2.44608,1.384634,,2.592444
42333.60759,2.409857,0.249,2.602515,2.441051,1.379605,,2.597479
42333.60759,2.414889,0.25,2.602515,2.451109,1.394692,,2.602515
42333.60759,2.409857,0.251,2.597479,2.44608,1.384634,,2.602515
42333.60759,2.409857,0.252,2.597479,2.451109,1.384634,,2.597479
42333.60759,2.399794,0.253,2.597479,2.456138,1.389663,,2.607551
42333.60759,2.394762,0.254,2.587408,2.44608,1.379605,,2.602515
42333.60759,2.394762,0.255,2.592444,2.44608,1.384634,,2.612587
42333.60759,2.404825,0.256,2.597479,2.451109,1.389663,,2.602515
42333.60759,2.409857,0.257,2.592444,2.456138,1.374576,,2.597479
42333.60759,2.414889,0.258,2.602515,2.44608,1.379605,,2.592444
42333.60759,2.409857,0.259,2.597479,2.436022,1.389663,,2.587408
42333.60759,2.409857,0.26,2.602515,2.436022,1.384634,,2.592444
42333.60759,2.409857,0.261,2.607551,2.436022,1.394692,,2.597479
42333.60759,2.404825,0.262,2.597479,2.456138,1.389663,,2.602515
42333.60759,2.399794,0.263,2.597479,2.456138,1.374576,,2.602515
42333.60759,2.394762,0.264,2.592444,2.456138,1.379605,,2.602515
42333.60759,2.394762,0.265,2.592444,2.44608,1.379605,,2.592444
42333.60759,2.394762,0.266,2.592444,2.456138,1.389663,,2.597479
42333.60759,2.414889,0.267,2.587408,2.44608,1.379605,,2.597479
42333.60759,2.404825,0.268,2.592444,2.44608,1.389663,,2.592444
42333.60759,2.41992,0.269,2.592444,2.44608,1.384634,,2.602515
42333.60759,2.409857,0.27,2.602515,2.44608,1.379605,,2.597479
42333.60759,2.414889,0.271,2.597479,2.436022,1.384634,,2.592444
42333.60759,2.409857,0.272,2.597479,2.456138,1.379605,,2.592444
42333.60759,2.394762,0.273,2.587408,2.461167,1.384634,,2.597479
42333.60759,2.394762,0.274,2.587408,2.451109,1.374576,,2.602515
42333.60759,2.399794,0.275,2.592444,2.451109,1.384634,,2.597479
42333.60759,2.399794,0.276,2.592444,2.451109,1.384634,,2.587408
42333.60759,2.409857,0.277,2.587408,2.451109,1.389663,,2.592444
42333.60759,2.404825,0.278,2.592444,2.44608,1.384634,,2.592444
42333.60759,2.404825,0.279,2.592444,2.451109,1.379605,,2.592444
42333.60759,2.399794,0.28,2.602515,2.44608,1.379605,,2.597479
42333.60759,2.399794,0.281,2.612587,2.456138,1.389663,,2.597479
42333.60759,2.404825,0.282,2.597479,2.456138,1.379605,,2.597479
42333.60759,2.394762,0.283,2.587408,2.451109,1.384634,,2.602515
42333.60759,2.394762,0.284,2.597479,2.451109,1.379605,,2.607551
42333.60759,2.38973,0.285,2.597479,2.44608,1.389663,,2.592444
42333.60759,2.394762,0.286,2.592444,2.44608,1.384634,,2.597479
42333.60759,2.404825,0.287,2.592444,2.451109,1.384634,,2.597479
42333.60759,2.399794,0.288,2.597479,2.44608,1.379605,,2.602515
42333.60759,2.414889,0.289,2.597479,2.441051,1.379605,,2.597479
42333.60759,2.414889,0.29,2.597479,2.441051,1.384634,,2.592444
42333.60759,2.41992,0.291,2.597479,2.451109,1.374576,,2.602515
42333.60759,2.404825,0.292,2.587408,2.461167,1.394692,,2.597479
42333.60759,2.404825,0.293,2.582372,2.456138,1.384634,,2.602515
42333.60759,2.394762,0.294,2.592444,2.44608,1.379605,,2.597479
42333.60759,2.38973,0.295,2.592444,2.441051,1.384634,,2.587408
42333.60759,2.399794,0.296,2.592444,2.441051,1.384634,,2.577336
42333.60759,2.399794,0.297,2.597479,2.44608,1.379605,,2.587408
42333.60759,2.409857,0.298,2.597479,2.44608,1.379605,,2.592444
42333.60759,2.404825,0.299,2.602515,2.44608,1.389663,,2.592444
42333.60759,2.414889,0.3,2.602515,2.44608,1.394692,,2.602515
42333.60759,2.404825,0.301,2.602515,2.436022,1.379605,,
42333.60759,2.404825,0.302,2.597479,2.451109,1.389663,,
42333.60759,2.399794,0.303,2.592444,2.451109,1.389663,,
42333.60759,2.38973,0.304,2.597479,2.456138,1.379605,,
42333.60759,2.394762,0.305,2.597479,2.451109,1.389663,,
42333.60759,2.394762,0.306,2.597479,2.451109,1.389663,,
42333.60759,2.409857,0.307,2.587408,2.44608,1.384634,,
42333.60759,2.404825,0.308,2.602515,2.441051,1.384634,,
42333.60759,2.399794,0.309,2.597479,2.44608,1.384634,,
42333.60759,2.404825,0.31,2.597479,2.456138,1.379605,,
42333.60759,2.414889,0.311,2.597479,2.44608,1.374576,,
42333.60759,2.399794,0.312,2.602515,2.461167,1.394692,,
42333.60759,2.399794,0.313,2.587408,2.451109,1.379605,,
42333.60759,2.38973,0.314,2.597479,2.451109,1.379605,,
42333.60759,2.399794,0.315,2.597479,2.451109,1.389663,,
42333.60759,2.404825,0.316,2.597479,2.44608,1.379605,,
42333.60759,2.409857,0.317,2.592444,2.441051,1.379605,,
42333.60759,2.404825,0.318,2.607551,2.436022,1.389663,,
42333.60759,2.409857,0.319,2.597479,2.441051,1.384634,,
42333.60759,2.404825,0.32,2.597479,2.44608,1.384634,,
42333.60759,2.404825,0.321,2.602515,2.451109,1.384634,,
42333.60759,2.409857,0.322,2.587408,2.456138,1.379605,,
42333.60759,2.404825,0.323,2.587408,2.461167,1.384634,,
42333.60759,2.394762,0.324,2.592444,2.456138,1.384634,,
42333.60759,2.394762,0.325,2.597479,2.456138,1.394692,,
42333.60759,2.399794,0.326,2.592444,2.451109,1.384634,,
42333.60759,2.404825,0.327,2.597479,2.451109,1.374576,,
42333.60759,2.41992,0.328,2.602515,2.44608,1.384634,,
42333.60759,2.404825,0.329,2.597479,2.451109,1.379605,,
42333.60759,2.414889,0.33,2.597479,2.44608,1.384634,,
42333.60759,2.414889,0.331,2.597479,2.456138,1.389663,,
42333.60759,2.409857,0.332,2.592444,2.451109,1.384634,,
42333.60759,2.394762,0.333,2.582372,2.456138,1.384634,,
42333.60759,2.38973,0.334,2.587408,2.456138,1.384634,,
42333.60759,2.399794,0.335,2.582372,2.441051,1.389663,,
42333.60759,2.38973,0.336,2.587408,2.451109,1.379605,,
42333.60759,2.394762,0.337,2.587408,2.451109,1.399721,,
42333.60759,2.394762,0.338,2.602515,2.44608,1.389663,,
42333.60759,2.404825,0.339,2.607551,2.441051,1.384634,,
42333.60759,2.409857,0.34,2.602515,2.451109,1.384634,,
42333.60759,2.399794,0.341,2.607551,2.451109,1.379605,,
42333.60759,2.399794,0.342,2.597479,2.44608,1.389663,,
42333.60759,2.394762,0.343,2.587408,2.456138,1.379605,,
42333.60759,2.38973,0.344,2.592444,2.456138,1.379605,,
42333.60759,2.38973,0.345,2.592444,2.461167,1.389663,,
42333.60759,2.404825,0.346,2.602515,2.451109,1.379605,,
42333.60759,2.399794,0.347,2.592444,2.451109,1.384634,,
42333.60759,2.404825,0.348,2.597479,2.44608,1.384634,,
42333.60759,2.399794,0.349,2.592444,2.441051,1.384634,,
42333.60759,2.399794,0.35,2.612587,2.451109,1.394692,,
42333.60759,2.399794,0.351,2.602515,2.44608,1.379605,,
42333.60759,2.399794,0.352,2.597479,2.451109,1.379605,,
42333.60759,2.38973,0.353,2.587408,2.451109,1.379605,,
42333.60759,2.38973,0.354,2.592444,2.451109,1.389663,,
42333.60759,2.394762,0.355,2.587408,2.456138,1.379605,,
42333.60759,2.399794,0.356,2.592444,2.451109,1.384634,,
42333.60759,2.409857,0.357,2.592444,2.44608,1.384634,,
42333.60759,2.414889,0.358,2.597479,2.441051,1.389663,,
42333.60759,2.414889,0.359,2.597479,2.441051,1.384634,,
42333.60759,2.41992,0.36,2.597479,2.451109,1.379605,,
42333.60759,2.409857,0.361,2.602515,2.451109,1.379605,,
42333.60759,2.414889,0.362,2.592444,2.44608,1.389663,,
42333.60759,2.404825,0.363,2.592444,2.451109,1.384634,,
42333.60759,2.38973,0.364,2.597479,2.451109,1.379605,,
42333.60759,2.399794,0.365,2.592444,2.430993,1.379605,,
42333.60759,2.404825,0.366,2.587408,2.44608,1.379605,,
42333.60759,2.409857,0.367,2.592444,2.44608,1.384634,,
42333.60759,2.399794,0.368,2.597479,2.441051,1.384634,,
42333.60759,2.409857,0.369,2.592444,2.44608,1.384634,,
42333.60759,2.409857,0.37,2.597479,2.44608,1.384634,,
42333.60759,2.404825,0.371,2.597479,2.441051,1.379605,,
42333.60759,2.404825,0.372,2.587408,2.456138,1.379605,,
42333.60759,2.399794,0.373,2.582372,2.456138,1.389663,,
42333.60759,2.38973,0.374,2.587408,2.456138,1.384634,,
42333.60759,2.384699,0.375,2.597479,2.456138,1.394692,,
42333.60759,2.394762,0.376,2.597479,2.44608,1.379605,,
42333.60759,2.399794,0.377,2.592444,2.456138,1.389663,,
42333.60759,2.404825,0.378,2.602515,2.44608,1.379605,,
42333.60759,2.394762,0.379,2.602515,2.451109,1.379605,,
42333.60759,2.409857,0.38,2.592444,2.44608,1.384634,,
42333.60759,2.409857,0.381,2.602515,2.456138,1.389663,,
42333.60759,2.399794,0.382,2.592444,2.461167,1.379605,,
42333.60759,2.394762,0.383,2.587408,2.451109,1.384634,,
42333.60759,2.394762,0.384,2.597479,2.44608,1.379605,,
42333.60759,2.404825,0.385,2.597479,2.441051,1.389663,,
42333.60759,2.404825,0.386,2.587408,2.451109,1.384634,,
42333.60759,2.409857,0.387,2.587408,2.451109,1.389663,,
42333.60759,2.399794,0.388,2.597479,2.451109,1.389663,,
42333.60759,2.409857,0.389,2.602515,2.451109,1.379605,,
42333.60759,2.409857,0.39,2.597479,2.451109,1.384634,,
42333.60759,2.409857,0.391,2.597479,2.451109,1.384634,,
42333.60759,2.399794,0.392,2.597479,2.456138,1.374576,,
42333.60759,2.399794,0.393,2.587408,2.456138,1.379605,,
42333.60759,2.399794,0.394,2.597479,2.451109,1.384634,,
42333.60759,2.394762,0.395,2.587408,2.44608,1.389663,,
42333.60759,2.394762,0.396,2.597479,2.451109,1.384634,,
