TheTime,AIN0,,AIN1,AIN2,AIN3,,AVERAGE,AIN1,TIME,a
42333.62085,2.394762,0.06,2.587408,2.44608,1.384634,,,2.572301,0.06,-1.257997734
42333.62085,2.409857,0.061,2.592444,2.44608,1.379605,,,2.582372,0.061,-0.754447734
42333.62085,2.404825,0.062,2.592444,2.451109,1.379605,,,2.577336,0.062,-1.006247734
42333.62085,2.41992,0.063,2.612587,2.44608,1.394692,,,2.602515,0.063,0.252702266
42333.62085,2.399794,0.064,2.602515,2.44608,1.384634,,,2.602515,0.064,0.252702266
42333.62085,2.399794,0.065,2.602515,2.456138,1.374576,,,2.622658,0.065,1.259852266
42333.62085,2.399794,0.066,2.597479,2.451109,1.384634,,,2.637765,0.066,2.015202266
42333.62085,2.394762,0.067,2.587408,2.461167,1.374576,,,2.602515,0.067,0.252702266
42333.62085,2.394762,0.068,2.587408,2.451109,1.384634,,,2.607551,0.068,0.504502266
42333.62085,2.399794,0.069,2.587408,2.451109,1.389663,,,2.642801,0.069,2.267002266
42333.62085,2.399794,0.07,2.597479,2.44608,1.384634,,,2.607551,0.07,0.504502266
42333.62085,2.404825,0.071,2.592444,2.441051,1.379605,,,2.592444,0.071,-0.250847734
42333.62085,2.409857,0.072,2.597479,2.44608,1.394692,,,2.582372,0.072,-0.754447734
42333.62085,2.41992,0.073,2.607551,2.441051,1.384634,,,2.582372,0.073,-0.754447734
42333.62085,2.409857,0.074,2.602515,2.441051,1.384634,,,2.597479,0.074,0.000902266
42333.62085,2.404825,0.075,2.602515,2.451109,1.394692,,,2.552158,0.075,-2.265147734
42333.62085,2.409857,0.076,2.602515,2.451109,1.379605,,,2.521943,0.076,-3.775897734
42333.62085,2.394762,0.077,2.592444,2.456138,1.384634,,,2.547122,0.077,-2.516947734
42333.62085,2.394762,0.078,2.592444,2.441051,1.389663,,,2.582372,0.078,-0.754447734
42333.62085,2.394762,0.079,2.602515,2.451109,1.384634,,,2.602515,0.079,0.252702266
42333.62085,2.394762,0.08,2.597479,2.451109,1.384634,,,2.572301,0.08,-1.257997734
42333.62085,2.394762,0.081,2.597479,2.430993,1.379605,,,2.577336,0.081,-1.006247734
42333.62085,2.394762,0.082,2.607551,2.436022,1.384634,,,2.572301,0.082,-1.257997734
42333.62085,2.409857,0.083,2.597479,2.44608,1.384634,,,2.572301,0.083,-1.257997734
42333.62085,2.404825,0.084,2.602515,2.451109,1.389663,,,2.612587,0.084,0.756302266
42333.62085,2.404825,0.085,2.607551,2.44608,1.389663,,,2.652873,0.085,2.770602266
42333.62085,2.399794,0.086,2.597479,2.44608,1.384634,,,2.693159,0.086,4.784902266
42333.62085,2.394762,0.087,2.592444,2.451109,1.379605,,,2.637765,0.087,2.015202266
42333.62085,2.38973,0.088,2.597479,2.451109,1.389663,,,2.587408,0.088,-0.502647734
42333.62085,2.394762,0.089,2.602515,2.44608,1.384634,,,2.673016,0.089,3.777752266
42333.62085,2.394762,0.09,2.597479,2.441051,1.389663,,,2.708266,0.09,5.540252266
42333.62085,2.404825,0.091,2.597479,2.451109,1.379605,,,2.597479,0.091,0.000902266
42333.62085,2.409857,0.092,2.602515,2.44608,1.379605,,,2.526979,0.092,-3.524097734
42333.62085,2.414889,0.093,2.597479,2.451109,1.379605,,,2.572301,0.093,-1.257997734
42333.62085,2.404825,0.094,2.597479,2.456138,1.394692,,,2.627694,0.094,1.511652266
42333.62085,2.404825,0.095,2.602515,2.461167,1.394692,,,2.627694,0.095,1.511652266
42333.62085,2.414889,0.096,2.607551,2.451109,1.379605,,,2.612587,0.096,0.756302266
42333.62085,2.399794,0.097,2.597479,2.451109,1.389663,,,2.587408,0.097,-0.502647734
42333.62085,2.399794,0.098,2.592444,2.451109,1.389663,,,2.582372,0.098,-0.754447734
42333.62085,2.394762,0.099,2.597479,2.44608,1.389663,,,2.562229,0.099,-1.761597734
42333.62085,2.394762,0.1,2.602515,2.451109,1.394692,,,2.557193,0,-2.013397734
42333.62085,2.404825,0.101,2.597479,2.44608,1.389663,,,2.572301,0.001,-1.257997734
42333.62085,2.414889,0.102,2.612587,2.44608,1.384634,,,2.582372,0.002,-0.754447734
42333.62085,2.409857,0.103,2.602515,2.441051,1.384634,,,2.592444,0.003,-0.250847734
42333.62085,2.404825,0.104,2.597479,2.451109,1.384634,,,2.587408,0.004,-0.502647734
42333.62085,2.404825,0.105,2.602515,2.451109,1.379605,,,2.587408,0.005,-0.502647734
42333.62085,2.409857,0.106,2.597479,2.451109,1.384634,,,2.577336,0.006,-1.006247734
42333.62085,2.394762,0.107,2.592444,2.456138,1.389663,,,2.572301,0.007,-1.257997734
42333.62085,2.394762,0.108,2.587408,2.456138,1.379605,,,2.577336,0.008,-1.006247734
42333.62085,2.394762,0.109,2.602515,2.451109,1.384634,,,2.582372,0.009,-0.754447734
42333.62085,2.399794,0.11,2.592444,2.456138,1.379605,,,2.582372,0.01,-0.754447734
42333.62085,2.394762,0.111,2.592444,2.456138,1.384634,,,2.582372,0.011,-0.754447734
42333.62085,2.404825,0.112,2.612587,2.451109,1.379605,,,2.582372,0.012,-0.754447734
42333.62085,2.409857,0.113,2.612587,2.456138,1.389663,,,2.597479,0.013,0.000902266
42333.62085,2.399794,0.114,2.597479,2.44608,1.379605,,,2.617622,0.014,1.008052266
42333.62085,2.409857,0.115,2.597479,2.456138,1.379605,,,2.642801,0.015,2.267002266
42333.62085,2.399794,0.116,2.592444,2.456138,1.389663,,,2.637765,0.016,2.015202266
42333.62085,2.38973,0.117,2.587408,2.456138,1.389663,,,2.622658,0.017,1.259852266
42333.62085,2.394762,0.118,2.592444,2.441051,1.379605,,,2.642801,0.018,2.267002266
42333.62085,2.394762,0.119,2.597479,2.451109,1.384634,,,2.592444,0.019,-0.250847734
42333.62085,2.399794,0.12,2.592444,2.44608,1.384634,,,2.567265,0.02,-1.509797734
42333.62085,2.404825,0.121,2.597479,2.44608,1.384634,,,2.607551,0.021,0.504502266
42333.62085,2.414889,0.122,2.602515,2.44608,1.384634,,,2.652873,0.022,2.770602266
42333.62085,2.409857,0.123,2.597479,2.441051,1.384634,,,2.602515,0.023,0.252702266
42333.62085,2.414889,0.124,2.597479,2.451109,1.379605,,,2.542086,0.024,-2.768747734
42333.62085,2.409857,0.125,2.592444,2.451109,1.394692,,,2.532015,0.025,-3.272297734
42333.62085,2.38973,0.126,2.577336,2.44608,1.384634,,,2.557193,0.026,-2.013397734
42333.62085,2.399794,0.127,2.587408,2.451109,1.384634,,,2.597479,0.027,0.000902266
42333.62085,2.38973,0.128,2.597479,2.456138,1.384634,,,2.602515,0.028,0.252702266
42333.62085,2.38973,0.129,2.597479,2.441051,1.389663,,,2.567265,0.029,-1.509797734
42333.62085,2.394762,0.13,2.597479,2.44608,1.389663,,,2.552158,0.03,-2.265147734
42333.62085,2.414889,0.131,2.592444,2.451109,1.384634,,,2.557193,0.031,-2.013397734
42333.62085,2.424952,0.132,2.602515,2.44608,1.379605,,,2.567265,0.032,-1.509797734
42333.62085,2.41992,0.133,2.602515,2.451109,1.384634,,,2.582372,0.033,-0.754447734
42333.62085,2.414889,0.134,2.597479,2.456138,1.379605,,,2.652873,0.034,2.770602266
42333.62085,2.399794,0.135,2.592444,2.44608,1.384634,,,2.652873,0.035,2.770602266
42333.62085,2.399794,0.136,2.592444,2.456138,1.389663,,,2.66798,0.036,3.525952266
42333.62085,2.399794,0.137,2.582372,2.451109,1.384634,,,2.662944,0.037,3.274152266
42333.62085,2.394762,0.138,2.607551,2.451109,1.399721,,,2.617622,0.038,1.008052266
42333.62085,2.404825,0.139,2.597479,2.44608,1.384634,,,2.602515,0.039,0.252702266
42333.62085,2.404825,0.14,2.592444,2.44608,1.379605,,,2.662944,0.04,3.274152266
42333.62085,2.414889,0.141,2.607551,2.44608,1.389663,,,2.642801,0.041,2.267002266
42333.62085,2.409857,0.142,2.602515,2.441051,1.389663,,,2.582372,0.042,-0.754447734
42333.62085,2.424952,0.143,2.602515,2.441051,1.384634,,,2.587408,0.043,-0.502647734
42333.62085,2.414889,0.144,2.597479,2.456138,1.394692,,,2.597479,0.044,0.000902266
42333.62085,2.414889,0.145,2.602515,2.456138,1.379605,,,2.637765,0.045,2.015202266
42333.62085,2.399794,0.146,2.602515,2.461167,1.389663,,,2.642801,0.046,2.267002266
42333.62085,2.38973,0.147,2.582372,2.456138,1.384634,,,2.587408,0.047,-0.502647734
42333.62085,2.38973,0.148,2.582372,2.451109,1.389663,,,2.567265,0.048,-1.509797734
42333.62085,2.394762,0.149,2.592444,2.441051,1.384634,,,2.557193,0.049,-2.013397734
42333.62085,2.404825,0.15,2.597479,2.44608,1.384634,,,2.562229,0.05,-1.761597734
42333.62085,2.409857,0.151,2.597479,2.44608,1.379605,,,2.577336,0.051,-1.006247734
42333.62085,2.414889,0.152,2.597479,2.451109,1.379605,,,2.587408,0.052,-0.502647734
42333.62085,2.409857,0.153,2.602515,2.451109,1.394692,,,2.582372,0.053,-0.754447734
42333.62085,2.409857,0.154,2.597479,2.451109,1.384634,,,2.582372,0.054,-0.754447734
42333.62085,2.404825,0.155,2.597479,2.451109,1.389663,,,2.602515,0.055,0.252702266
42333.62085,2.399794,0.156,2.582372,2.451109,1.379605,,,2.582372,0.056,-0.754447734
42333.62085,2.394762,0.157,2.582372,2.441051,1.384634,,,2.577336,0.057,-1.006247734
42333.62085,2.399794,0.158,2.592444,2.451109,1.389663,,,2.547122,0.058,-2.516947734
42333.62085,2.399794,0.159,2.587408,2.451109,1.379605,,,2.562229,0.059,-1.761597734
42333.62085,2.409857,0.16,2.602515,2.44608,1.379605,,,2.577336,0.06,-1.006247734
42333.62085,2.41992,0.161,2.602515,2.451109,1.384634,,,2.597479,0.061,0.000902266
42333.62085,2.41992,0.162,2.607551,2.456138,1.384634,,,2.597479,0.062,0.000902266
42333.62085,2.414889,0.163,2.612587,2.44608,1.394692,,,2.597479,0.063,0.000902266
42333.62085,2.409857,0.164,2.607551,2.451109,1.384634,,,2.612587,0.064,0.756302266
42333.62085,2.399794,0.165,2.607551,2.456138,1.389663,,,2.627694,0.065,1.511652266
42333.62085,2.394762,0.166,2.597479,2.456138,1.384634,,,2.622658,0.066,1.259852266
42333.62085,2.38973,0.167,2.592444,2.456138,1.384634,,,2.612587,0.067,0.756302266
42333.62085,2.394762,0.168,2.602515,2.456138,1.389663,,,2.627694,0.068,1.511652266
42333.62085,2.394762,0.169,2.597479,2.451109,1.389663,,,2.627694,0.069,1.511652266
42333.62085,2.399794,0.17,2.597479,2.44608,1.389663,,,2.607551,0.07,0.504502266
42333.62085,2.409857,0.171,2.597479,2.44608,1.389663,,,2.587408,0.071,-0.502647734
42333.62085,2.414889,0.172,2.612587,2.44608,1.384634,,,2.622658,0.072,1.259852266
42333.62085,2.414889,0.173,2.607551,2.44608,1.384634,,,2.597479,0.073,0.000902266
42333.62085,2.404825,0.174,2.602515,2.456138,1.384634,,,2.562229,0.074,-1.761597734
42333.62085,2.399794,0.175,2.602515,2.451109,1.399721,,,2.532015,0.075,-3.272297734
42333.62085,2.399794,0.176,2.597479,2.456138,1.384634,,,2.557193,0.076,-2.013397734
42333.62085,2.399794,0.177,2.582372,2.451109,1.384634,,,2.577336,0.077,-1.006247734
42333.62085,2.38973,0.178,2.587408,2.456138,1.384634,,,2.607551,0.078,0.504502266
42333.62085,2.399794,0.179,2.592444,2.441051,1.384634,,,2.572301,0.079,-1.257997734
42333.62085,2.404825,0.18,2.597479,2.436022,1.384634,,,2.542086,0.08,-2.768747734
42333.62085,2.409857,0.181,2.597479,2.44608,1.389663,,,2.557193,0.081,-2.013397734
42333.62085,2.41992,0.182,2.602515,2.44608,1.389663,,,2.587408,0.082,-0.502647734
42333.62085,2.409857,0.183,2.597479,2.451109,1.389663,,,2.612587,0.083,0.756302266
42333.62085,2.404825,0.184,2.607551,2.451109,1.379605,,,2.597479,0.084,0.000902266
42333.62085,2.404825,0.185,2.602515,2.461167,1.379605,,,2.637765,0.085,2.015202266
42333.62085,2.394762,0.186,2.597479,2.456138,1.379605,,,2.657908,0.086,3.022352266
42333.62085,2.394762,0.187,2.592444,2.451109,1.384634,,,2.683087,0.087,4.281302266
42333.62085,2.394762,0.188,2.602515,2.44608,1.384634,,,2.657908,0.088,3.022352266
42333.62085,2.38973,0.189,2.592444,2.44608,1.379605,,,2.592444,0.089,-0.250847734
42333.62085,2.394762,0.19,2.592444,2.456138,1.384634,,,2.622658,0.09,1.259852266
42333.62085,2.409857,0.191,2.607551,2.451109,1.384634,,,2.662944,0.091,3.274152266
42333.62085,2.41992,0.192,2.602515,2.441051,1.394692,,,2.607551,0.092,0.504502266
42333.62085,2.414889,0.193,2.602515,2.44608,1.389663,,,2.572301,0.093,-1.257997734
42333.62085,2.414889,0.194,2.602515,2.466196,1.384634,,,2.602515,0.094,0.252702266
42333.62085,2.414889,0.195,2.597479,2.471225,1.379605,,,2.647837,0.095,2.518802266
42333.62085,2.394762,0.196,2.592444,2.466196,1.389663,,,2.642801,0.096,2.267002266
42333.62085,2.38973,0.197,2.587408,2.466196,1.379605,,,2.592444,0.097,-0.250847734
42333.62085,2.38973,0.198,2.592444,2.44608,1.379605,,,2.552158,0.098,-2.265147734
42333.62085,2.394762,0.199,2.597479,2.44608,1.384634,,,2.567265,0.099,-1.509797734
42333.62085,2.399794,0.2,2.597479,2.44608,1.394692,,,2.562229,0.1,-1.761597734
42333.62085,2.409857,0.201,2.607551,2.441051,1.384634,,,2.582372,0.101,-0.754447734
42333.62085,2.414889,0.202,2.602515,2.451109,1.389663,,,2.577336,0.102,-1.006247734
42333.62085,2.404825,0.203,2.592444,2.44608,1.384634,,,2.577336,0.103,-1.006247734
42333.62085,2.409857,0.204,2.602515,2.44608,1.384634,,,2.572301,0.104,-1.257997734
42333.62085,2.404825,0.205,2.592444,2.451109,1.389663,,,2.577336,0.105,-1.006247734
42333.62085,2.399794,0.206,2.587408,2.451109,1.379605,,,2.587408,0.106,-0.502647734
42333.62085,2.399794,0.207,2.587408,2.44608,1.389663,,,2.582372,0.107,-0.754447734
42333.62085,2.394762,0.208,2.587408,2.436022,1.389663,,,2.552158,0.108,-2.265147734
42333.62085,2.38973,0.209,2.597479,2.44608,1.389663,,,2.567265,0.109,-1.509797734
42333.62085,2.399794,0.21,2.597479,2.430993,1.379605,,,2.582372,0.11,-0.754447734
42333.62085,2.404825,0.211,2.592444,2.44608,1.379605,,,2.592444,0.111,-0.250847734
42333.62085,2.414889,0.212,2.607551,2.451109,1.379605,,,2.572301,0.112,-1.257997734
42333.62085,2.409857,0.213,2.612587,2.44608,1.394692,,,2.597479,0.113,0.000902266
42333.62085,2.399794,0.214,2.597479,2.456138,1.384634,,,2.617622,0.114,1.008052266
42333.62085,2.399794,0.215,2.597479,2.451109,1.384634,,,2.642801,0.115,2.267002266
42333.62085,2.38973,0.216,2.597479,2.436022,1.384634,,,2.627694,0.116,1.511652266
42333.62085,2.38973,0.217,2.597479,2.456138,1.379605,,,2.617622,0.117,1.008052266
42333.62085,2.38973,0.218,2.582372,2.441051,1.379605,,,2.622658,0.118,1.259852266
42333.62085,2.399794,0.219,2.597479,2.44608,1.389663,,,2.617622,0.119,1.008052266
42333.62085,2.404825,0.22,2.597479,2.451109,1.379605,,,2.582372,0.12,-0.754447734
42333.62085,2.409857,0.221,2.597479,2.451109,1.384634,,,2.602515,0.121,0.252702266
42333.62085,2.409857,0.222,2.607551,2.44608,1.389663,,,2.642801,0.122,2.267002266
42333.62085,2.409857,0.223,2.597479,2.44608,1.389663,,,2.602515,0.123,0.252702266
42333.62085,2.404825,0.224,2.602515,2.44608,1.384634,,,2.557193,0.124,-2.013397734
42333.62085,2.399794,0.225,2.592444,2.451109,1.389663,,,2.532015,0.125,-3.272297734
42333.62085,2.394762,0.226,2.587408,2.461167,1.384634,,,2.572301,0.126,-1.257997734
42333.62085,2.38973,0.227,2.582372,2.456138,1.379605,,,2.587408,0.127,-0.502647734
42333.62085,2.394762,0.228,2.592444,2.451109,1.379605,,,2.597479,0.128,0.000902266
42333.62085,2.399794,0.229,2.597479,2.441051,1.384634,,,2.547122,0.129,-2.516947734
42333.62085,2.399794,0.23,2.597479,2.44608,1.384634,,,2.542086,0.13,-2.768747734
42333.62085,2.414889,0.231,2.597479,2.441051,1.384634,,,2.567265,0.131,-1.509797734
42333.62085,2.41992,0.232,2.602515,2.451109,1.384634,,,2.587408,0.132,-0.502647734
42333.62085,2.409857,0.233,2.607551,2.44608,1.374576,,,2.597479,0.133,0.000902266
42333.62085,2.404825,0.234,2.602515,2.456138,1.384634,,,2.612587,0.134,0.756302266
42333.62085,2.404825,0.235,2.597479,2.451109,1.389663,,,2.637765,0.135,2.015202266
42333.62085,2.399794,0.236,2.582372,2.461167,1.389663,,,2.617622,0.136,1.008052266
42333.62085,2.38973,0.237,2.587408,2.451109,1.379605,,,2.678051,0.137,4.029502266
42333.62085,2.394762,0.238,2.597479,2.451109,1.384634,,,2.66798,0.138,3.525952266
42333.62085,2.394762,0.239,2.597479,2.44608,1.389663,,,2.607551,0.139,0.504502266
42333.62085,2.404825,0.24,2.597479,2.441051,1.384634,,,2.602515,0.14,0.252702266
42333.62085,2.414889,0.241,2.607551,2.44608,1.379605,,,2.627694,0.141,1.511652266
42333.62085,2.409857,0.242,2.597479,2.44608,1.379605,,,2.657908,0.142,3.022352266
42333.62085,2.414889,0.243,2.597479,2.461167,1.379605,,,2.587408,0.143,-0.502647734
42333.62085,2.404825,0.244,2.602515,2.466196,1.394692,,,2.577336,0.144,-1.006247734
42333.62085,2.404825,0.245,2.597479,2.461167,1.379605,,,2.63273,0.145,1.763452266
42333.62085,2.394762,0.246,2.587408,2.451109,1.389663,,,2.657908,0.146,3.022352266
42333.62085,2.38973,0.247,2.582372,2.451109,1.389663,,,2.617622,0.147,1.008052266
42333.62085,2.394762,0.248,2.597479,2.436022,1.379605,,,2.547122,0.148,-2.516947734
42333.62085,2.404825,0.249,2.597479,2.44608,1.379605,,,2.557193,0.149,-2.013397734
42333.62085,2.409857,0.25,2.597479,2.451109,1.384634,,,2.562229,0.15,-1.761597734
42333.62085,2.414889,0.251,2.597479,2.451109,1.379605,,,2.577336,0.151,-1.006247734
42333.62085,2.414889,0.252,2.602515,2.44608,1.379605,,,2.577336,0.152,-1.006247734
42333.62085,2.409857,0.253,2.602515,2.441051,1.384634,,,2.582372,0.153,-0.754447734
42333.62085,2.409857,0.254,2.597479,2.451109,1.384634,,,2.577336,0.154,-1.006247734
42333.62085,2.399794,0.255,2.602515,2.451109,1.379605,,,2.572301,0.155,-1.257997734
42333.62085,2.394762,0.256,2.587408,2.451109,1.389663,,,2.567265,0.156,-1.509797734
42333.62085,2.394762,0.257,2.577336,2.451109,1.384634,,,2.592444,0.157,-0.250847734
42333.62085,2.394762,0.258,2.592444,2.44608,1.384634,,,2.577336,0.158,-1.006247734
42333.62085,2.399794,0.259,2.597479,2.441051,1.384634,,,2.572301,0.159,-1.257997734
42333.62085,2.409857,0.26,2.592444,2.451109,1.384634,,,2.572301,0.16,-1.257997734
42333.62085,2.414889,0.261,2.602515,2.456138,1.384634,,,2.587408,0.161,-0.502647734
42333.62085,2.414889,0.262,2.602515,2.451109,1.379605,,,2.582372,0.162,-0.754447734
42333.62085,2.409857,0.263,2.607551,2.456138,1.394692,,,2.602515,0.163,0.252702266
42333.62085,2.41992,0.264,2.597479,2.451109,1.384634,,,2.627694,0.164,1.511652266
42333.62085,2.404825,0.265,2.587408,2.456138,1.389663,,,2.647837,0.165,2.518802266
42333.62085,2.399794,0.266,2.587408,2.461167,1.379605,,,2.622658,0.166,1.259852266
42333.62085,2.399794,0.267,2.592444,2.44608,1.394692,,,2.612587,0.167,0.756302266
42333.62085,2.399794,0.268,2.592444,2.441051,1.394692,,,2.627694,0.168,1.511652266
42333.62085,2.404825,0.269,2.597479,2.44608,1.384634,,,2.622658,0.169,1.259852266
42333.62085,2.409857,0.27,2.587408,2.441051,1.384634,,,2.587408,0.17,-0.502647734
42333.62085,2.409857,0.271,2.597479,2.44608,1.384634,,,2.582372,0.171,-0.754447734
42333.62085,2.414889,0.272,2.602515,2.44608,1.384634,,,2.617622,0.172,1.008052266
42333.62085,2.414889,0.273,2.597479,2.451109,1.389663,,,2.602515,0.173,0.252702266
42333.62085,2.404825,0.274,2.597479,2.451109,1.384634,,,2.572301,0.174,-1.257997734
42333.62085,2.404825,0.275,2.597479,2.461167,1.389663,,,2.557193,0.175,-2.013397734
42333.62085,2.399794,0.276,2.587408,2.461167,1.374576,,,2.542086,0.176,-2.768747734
42333.62085,2.394762,0.277,2.587408,2.44608,1.384634,,,2.587408,0.177,-0.502647734
42333.62085,2.394762,0.278,2.592444,2.451109,1.384634,,,2.607551,0.178,0.504502266
42333.62085,2.394762,0.279,2.597479,2.441051,1.379605,,,2.572301,0.179,-1.257997734
42333.62085,2.409857,0.28,2.602515,2.441051,1.384634,,,2.557193,0.18,-2.013397734
42333.62085,2.414889,0.281,2.602515,2.451109,1.384634,,,2.526979,0.181,-3.524097734
42333.62085,2.41992,0.282,2.602515,2.436022,1.379605,,,2.557193,0.182,-2.013397734
42333.62085,2.409857,0.283,2.592444,2.456138,1.384634,,,2.607551,0.183,0.504502266
42333.62085,2.404825,0.284,2.597479,2.461167,1.379605,,,2.647837,0.184,2.518802266
42333.62085,2.404825,0.285,2.602515,2.456138,1.384634,,,2.647837,0.185,2.518802266
42333.62085,2.394762,0.286,2.587408,2.451109,1.384634,,,2.602515,0.186,0.252702266
42333.62085,2.394762,0.287,2.592444,2.461167,1.389663,,,2.683087,0.187,4.281302266
42333.62085,2.394762,0.288,2.602515,2.461167,1.389663,,,2.748552,0.188,7.554552266
42333.62085,2.399794,0.289,2.597479,2.441051,1.389663,,,2.637765,0.189,2.015202266
42333.62085,2.409857,0.29,2.597479,2.44608,1.389663,,,2.577336,0.19,-1.006247734
42333.62085,2.409857,0.291,2.602515,2.44608,1.379605,,,2.572301,0.191,-1.257997734
